player_name,career_kills,career_wins,career_revives
EgoistaTv,86058.0,6507.2147995889,13735.802455357143
i-PearlSwishers,93037.0,4753.0,12656.0
CxmplexNative,67804.0,6507.2147995889,12111.0
ObjectiveTaken,87281.0,7579.0,12917.0
FCE JeW,76143.0,5553.0,9753.0
MatchboxTV,88236.0,6507.2147995889,13735.802455357143
Lukologist,64574.0,4236.0,5966.0
Tabassco,66857.0,6507.2147995889,13735.802455357143
xManumbollx_PR,107753.0,6507.2147995889,22400.0
xItzLazzy,123374.0,6507.2147995889,13735.802455357143
JuTVBaby,90903.0,9713.0,21400.0
TheGreatViz,67777.0,4482.0,16374.0
xXRandomHobo1Xx,85468.0,6507.2147995889,13735.802455357143
YamchaOnFortnite,86540.0,5197.0,20285.0
Onysm,68057.0,4355.0,13735.802455357143
G-I-Jane11,80926.0,6507.2147995889,13982.0
RipaSticky1,69556.0,6507.2147995889,9295.0
HufflePuffTV,137248.0,7085.0,26776.0
l Nyako l,64505.0,4548.0,13735.802455357143
lSh1nnoK_-,89866.0,7149.0,12166.0
luv eeoki,82247.0,6507.2147995889,13735.802455357143
sporadicfury_,92154.0,6507.2147995889,13735.802455357143
EpicTotally,90723.0,5297.0,13735.802455357143
xDivineStark,94396.0,11539.0,13909.0
MONO nessie,67154.0,6507.2147995889,13735.802455357143
Hqzikqmi,81289.0,6507.2147995889,13735.802455357143
HY_0316,173485.0,6507.2147995889,13735.802455357143
DiamondJJTV,94552.0,4920.0,12956.0
TSM ikemen,103931.0,6507.2147995889,13735.802455357143
vVytor,78563.0,6507.2147995889,13735.802455357143
vKrisse,128601.0,6507.2147995889,13735.802455357143
MoonPakuTV,203387.0,7712.0,13735.802455357143
Way2Fruity,91663.0,6756.0,18913.0
MrMofongo,81897.0,6507.2147995889,13735.802455357143
modDRACARYS,89538.0,6507.2147995889,20793.0
JukeBoxHero336,65045.0,6507.2147995889,13735.802455357143
CuteLilEgo,93758.0,5768.0,25035.0
rallykidthegreat,98249.0,5115.0,13735.802455357143
official,96842.70955882352,6507.2147995889,13735.802455357143
Thee Mikey,71182.0,5063.0,10932.0
GENNXU,142145.0,6507.2147995889,17723.0
hipposterity,84931.0,5170.0,13735.802455357143
JoeyyHydroTV,189569.0,12973.0,29240.0
TNTG AGRO,65334.0,6507.2147995889,13161.0
Lqsuq,121017.0,6254.0,16200.0
Laystra,66039.0,6507.2147995889,13735.802455357143
Omar14Shh,118183.0,7108.0,17835.0
Billy Butcher,20895.0,507.0,3288.0
Flipping Bricks,69572.0,5754.0,13735.802455357143
LT-Treyfilth,106125.0,8117.0,13735.802455357143
DIEINTHESEA,87969.0,7560.0,17948.0
imWIFl,85228.0,7668.0,9227.0
DanieIsV2,94494.0,6507.2147995889,12419.0
xShane_TV,121659.0,8516.0,16647.0
Seven AImighty,66693.0,4959.0,9783.0
Resrect,125708.0,6507.2147995889,13735.802455357143
yAlbralulu_,100637.0,6507.2147995889,13735.802455357143
